id,name,created_at,updated_at,street1,zip,city,state,metro_id,longitude,latitude,street2,zone_id,store_id,county,deleted_at,opening_hour,closing_hour,store_number,store_group,active,allows_pickup,is_envoy_only,service_area_id,sells_alcohol,tax_exempt
13801,CVS - 201 N Mesa St,2019-01-30 19:24:45.660501,2019-02-21 04:03:48.300093,201 North Mesa St,79901,El Paso,TX,186,-106.4874843,31.7588105,NULL,2060,60,El Paso County,NULL,8,22,10105,NULL,True,False,False,NULL,False,NULL
13802,CVS - Mcrae Blvd,2019-01-30 19:24:46.270433,2019-02-21 04:03:48.314791,1212 Mcrae Blvd,79925,El Paso,TX,186,-106.3541974,31.7618929,NULL,2059,60,El Paso County,NULL,0,24,10215,NULL,True,False,False,NULL,False,NULL
13804,CVS - Joe Battle Blvd,2019-01-30 19:24:47.363916,2019-02-21 04:03:48.348982,3401 Joe Battle Blvd,79936,El Paso,TX,186,-106.2692233,31.7931141,NULL,2059,60,El Paso County,NULL,7,22,10600,NULL,True,False,False,NULL,False,NULL
13805,CVS - Montana Ave,2019-01-30 19:24:47.909215,2019-02-21 04:03:48.363103,5305 Montana Ave,79903,El Paso,TX,186,-106.4259563,31.7839561,NULL,2251,60,El Paso County,NULL,8,22,10874,NULL,True,False,False,NULL,False,NULL
10564,CVS N Tyndall Pkwy,2019-01-14 15:24:02.707859,2019-02-05 04:00:30.482524,302 N Tyndall Pkwy,32404,Panama City,FL,42,-85.5902705,30.1534129,NULL,532,60,Bay County,NULL,8,21,4500,NULL,True,False,False,NULL,False,NULL
11148,CVS - E Franklin St,2019-01-14 15:55:11.986456,2019-02-05 04:00:41.349721,137 E. Franklin St,27514,Chapel Hill,NC,31,-79.0545572,35.9137873,NULL,425,60,Orange County,NULL,7,24,10277,NULL,True,False,False,NULL,False,NULL
9903,Longs - N King St,2019-01-11 14:18:27.444959,2019-01-31 16:53:57.715512,"2070 N King St, #5",96819,Honoluu,HI,293,-157.8787425,21.333346,NULL,2820,86,Honolulu County,2019-01-31 16:53:57.715488,8,19,6928,NULL,False,False,False,NULL,False,NULL
13806,CVS - E Redd Rd,2019-01-30 19:24:48.432334,2019-02-21 04:03:48.376752,680 E Redd Rd,79912,El Paso,TX,186,-106.5587293,31.8590314,NULL,2060,60,El Paso County,NULL,8,22,11020,NULL,True,False,False,NULL,False,NULL
13807,CVS - Lee Trevino,2019-01-30 19:24:49.032774,2019-02-21 04:03:48.393166,1780  Lee Trevino,79936,El Paso,TX,186,-106.3185573,31.7647932,NULL,2059,60,El Paso County,NULL,0,24,11044,NULL,True,False,False,NULL,False,NULL
2511,Kroger - Windward Village,2017-06-21 18:47:23.529954,2018-10-29 21:56:44.489112,11877 Douglas Rd, 30005,Alpharetta,GA,11,-84.207576299999999491774360649287700653,34.070520600000001820717443479225039482,NULL,1102,2,Fulton County,NULL,6,24,5,NULL,True,False,False,NULL,False,NULL
1244,Giant Eagle on Mayfield Rd,2015-12-23 15:05:29.477467,2018-10-29 21:56:44.502928,4401 Mayfield Rd,44121,South Euclid,OH,30,-81.5215548,41.5216266,NULL,436,6,Cuyahoga County,NULL,NULL,NULL,,NULL,True,False,False,NULL,False,NULL
8239,ACME - Philadelphia Red Lion,2018-09-20 14:32:12.858187,2018-10-29 21:56:44.544073,920 Red Lion Rd,19115,Philadelphia,PA,124,-75.0262493,40.1007114,NULL,1612,63,Philadelphia County,NULL,6,23,147,NULL,True,False,False,NULL,False,NULL
13808,CVS - 8041 N Mesa St,2019-01-30 19:24:49.601754,2019-02-21 04:03:48.407662,8041 N Mesa St,79922,El Paso,TX,186,-106.5780194,31.8400752,NULL,2060,60,El Paso County,NULL,0,24,11100,NULL,True,False,False,NULL,False,NULL
13809,CVS - Dyer St,2019-01-30 19:24:50.410869,2019-02-21 04:03:48.428781,9060 Dyer St,79904,El Paso,TX,186,-106.4283369,31.8693386,NULL,2251,60,El Paso County,NULL,0,24,11160,NULL,True,False,False,NULL,False,NULL
